21 21 21
2 11 6 0.006272
2 11 7 0.006032
2 11 8 0.005787
2 11 9 0.005543
2 11 10 0.005304
2 11 11 0.005072
2 11 12 0.004851
2 11 13 0.004640
2 11 14 0.004441
2 11 15 0.004253
2 11 16 0.004077
2 11 17 0.003911
2 11 18 0.003755
2 11 19 0.003610
2 11 20 0.003473
2 12 0 0.006551
2 12 1 0.006529
2 12 2 0.006463
2 12 3 0.006357
2 12 4 0.006218
2 12 5 0.006053
2 12 6 0.005868
2 12 7 0.005670
2 12 8 0.005465
2 12 9 0.005258
2 12 10 0.005052
2 12 11 0.004851
2 12 12 0.004656
2 12 13 0.004469
2 12 14 0.004290
2 12 15 0.004120
2 12 16 0.003959
2 12 17 0.003806
2 12 18 0.003663
2 12 19 0.003527
2 12 20 0.003399
2 13 0 0.006058
2 13 1 0.006040
2 13 2 0.005988
2 13 3 0.005904
2 13 4 0.005792
2 13 5 0.005658
2 13 6 0.005506
2 13 7 0.005341
2 13 8 0.005169
2 13 9 0.004992
2 13 10 0.004815
2 13 11 0.004640
2 13 12 0.004469
2 13 13 0.004302
2 13 14 0.004142
2 13 15 0.003988
2 13 16 0.003842
2 13 17 0.003702
2 13 18 0.003569
2 13 19 0.003443
2 13 20 0.003324
2 14 0 0.005633
2 14 1 0.005619
2 14 2 0.005577
2 14 3 0.005509
2 14 4 0.005418
2 14 5 0.005308
2 14 6 0.005182
2 14 7 0.005044
2 14 8 0.004898
2 14 9 0.004747
2 14 10 0.004594
2 14 11 0.004441
2 14 12 0.004290
2 14 13 0.004142
2 14 14 0.003998
2 14 15 0.003859
2 14 16 0.003726
2 14 17 0.003598
2 14 18 0.003476
2 14 19 0.003360
2 14 20 0.003249
2 15 0 0.005264
2 15 1 0.005252
2 15 2 0.005218
2 15 3 0.005162
2 15 4 0.005087
2 15 5 0.004996
2 15 6 0.004890
2 15 7 0.004774
2 15 8 0.004649
2 15 9 0.004520
2 15 10 0.004387
2 15 11 0.004253
2 15 12 0.004120
2 15 13 0.003988
2 15 14 0.003859
2 15 15 0.003734
2 15 16 0.003613
2 15 17 0.003496
2 15 18 0.003384
2 15 19 0.003276
2 15 20 0.003173
2 16 0 0.004940
2 16 1 0.004930
2 16 2 0.004902
2 16 3 0.004855
2 16 4 0.004793
2 16 5 0.004716
2 16 6 0.004627
2 16 7 0.004528
2 16 8 0.004422
2 16 9 0.004310
2 16 10 0.004194
2 16 11 0.004077
2 16 12 0.003959
2 16 13 0.003842
2 16 14 0.003726
2 16 15 0.003613
2 16 16 0.003503
2 16 17 0.003396
2 16 18 0.003293
2 16 19 0.003193
2 16 20 0.003097
2 17 0 0.004653
2 17 1 0.004645
2 17 2 0.004621
2 17 3 0.004582
2 17 4 0.004530
2 17 5 0.004465
2 17 6 0.004389
2 17 7 0.004304
2 17 8 0.004212
2 17 9 0.004115
2 17 10 0.004014
2 17 11 0.003911
2 17 12 0.003806
2 17 13 0.003702
2 17 14 0.003598
2 17 15 0.003496
2 17 16 0.003396
2 17 17 0.003298
2 17 18 0.003203
2 17 19 0.003111
2 17 20 0.003023
2 18 0 0.004397
2 18 1 0.004390
2 18 2 0.004370
2 18 3 0.004337
2 18 4 0.004293
2 18 5 0.004237
2 18 6 0.004172
2 18 7 0.004100
2 18 8 0.004020
