21 21 21
6 6 4 0.0084689
6 6 5 0.0080664
6 6 6 0.0076455
6 6 7 0.0072246
6 6 8 0.0068162
6 6 9 0.0064279
6 6 10 0.0060638
6 7 0 0.0086262
6 7 1 0.0085751
6 7 2 0.0084275
6 7 3 0.0081984
6 7 4 0.0079078
6 7 5 0.0075769
6 7 6 0.0072246
6 7 7 0.0068661
6 7 8 0.0065124
6 7 9 0.0061711
6 7 10 0.0058467
6 8 0 0.0079549
6 8 1 0.0079149
6 8 2 0.0077986
6 8 3 0.0076160
6 8 4 0.0073813
6 8 5 0.0071099
6 8 6 0.0068162
6 8 7 0.0065124
6 8 8 0.0062081
6 8 9 0.0059101
6 8 10 0.0056232
6 9 0 0.0073560
6 9 1 0.0073244
6 9 2 0.0072320
6 9 3 0.0070858
6 9 4 0.0068956
6 9 5 0.0066727
6 9 6 0.0064279
6 9 7 0.0061711
6 9 8 0.0059101
6 9 9 0.0056512
6 9 10 0.0053986
6 10 0 0.0068241
6 10 1 0.0067988
6 10 2 0.0067248
6 10 3 0.0066068
6 10 4 0.0064519
6 10 5 0.0062681
6 10 6 0.0060638
6 10 7 0.0058467
6 10 8 0.0056232
6 10 9 0.0053986
6 10 10 0.0051771
7 0 0 0.0114303
7 0 1 0.0113073
7 0 2 0.0109650
7 0 3 0.0104645
7 0 4 0.0098732
7 0 5 0.0092473
7 0 6 0.0086262
7 0 7 0.0080337
7 0 8 0.0074824
7 0 9 0.0069772
7 0 10 0.0065182
7 1 0 0.0113073
7 1 1 0.0111888
7 1 2 0.0108578
7 1 3 0.0103722
7 1 4 0.0097962
7 1 5 0.0091843
7 1 6 0.0085751
7 1 7 0.0079925
7 1 8 0.0074492
7 1 9 0.0069502
7 1 10 0.0064962
7 2 0 0.0109650
7 2 1 0.0108578
7 2 2 0.0105567
7 2 3 0.0101106
7 2 4 0.0095763
7 2 5 0.0090031
7 2 6 0.0084275
7 2 7 0.0078729
7 2 8 0.0073521
7 2 9 0.0068713
7 2 10 0.0064316
7 3 0 0.0104645
7 3 1 0.0103722
7 3 2 0.0101106
7 3 3 0.0097185
7 3 4 0.0092424
7 3 5 0.0087248
7 3 6 0.0081984
7 3 7 0.0076853
7 3 8 0.0071988
7 3 9 0.0067457
7 3 10 0.0063283
7 4 0 0.0098732
7 4 1 0.0097962
7 4 2 0.0095763
7 4 3 0.0092424
7 4 4 0.0088310
7 4 5 0.0083767
7 4 6 0.0079078
7 4 7 0.0074445
7 4 8 0.0069998
7 4 9 0.0065811
7 4 10 0.0061919
7 5 0 0.0092473
7 5 1 0.0091843
7 5 2 0.0090031
7 5 3 0.0087248
7 5 4 0.0083767
7 5 5 0.0079862
7 5 6 0.0075769
7 5 7 0.0071664
7 5 8 0.0067671
7 5 9 0.0063866
7 5 10 0.0060290
7 6 0 0.0086262
7 6 1 0.0085751
7 6 2 0.0084275
7 6 3 0.0081984
7 6 4 0.0079078
7 6 5 0.0075769
7 6 6 0.0072246
7 6 7 0.0068661
7 6 8 0.0065124
7 6 9 0.0061711
7 6 10 0.0058467
7 7 0 0.0080337
